ParName   Value   Gradient
rec_dev_est(2001)     0.181662  6.80974e-05
rec_dev_est(2002)    -0.475054  0.000126669
rec_dev_est(2003)   -0.0148315 -2.74696e-05
rec_dev_est(2004)     0.037349  2.35218e-05
rec_dev_est(2005)   0.00871775  2.25578e-05
rec_dev_est(2006)   -0.0470554 -0.000159047
rec_dev_est(2007)    -0.417523  1.78849e-05
rec_dev_est(2008)    -0.249945  1.40723e-05
rec_dev_est(2009)    -0.225549  -0.00025218
rec_dev_est(2010)     -0.61187  -0.00023068
rec_dev_est(2011)    -0.266498 -0.000437857
rec_dev_est(2012)   -0.0268701 -0.000519373
rec_dev_est(2013)    -0.101174 -0.000534446
rec_dev_est(2014)    -0.226779 -0.000327389
rec_dev_est(2015)     -0.18519 -9.52139e-05
rec_dev_est(2016)    -0.382846  8.16474e-06
rec_dev_est(2017)    -0.228349 -6.16187e-05
rec_dev_est(2018)    -0.548837   0.00015679
rec_dev_est(2019)    -0.477752 -3.36955e-05
rec_dev_est(2020)    -0.156936  0.000118578
rec_dev_est(2021)    -0.125157 -2.01029e-05
survey_q[1]    0.0010797 -1.71873e-05
survey_q[2]  0.000674568 -4.53138e-05
survey_q[3]   0.00103811 -2.94279e-05
log_add_cv[1]     -1.75417  2.97662e-05
log_add_cv[2]     -2.49959  0.000132924
log_add_cv[3]     -1.96491 -3.21975e-07
